#{"t_start": 1782810581.856646, "env_id": "LunarLander-v3"}
r,l,t
-42.342894,81,0.011967
-334.239738,59,0.036752
-429.319633,85,0.088698
-152.391305,62,0.105387
-146.19688,108,0.18878
-355.356674,117,0.254767
-452.024114,89,0.304639
-105.302763,95,0.361345
-116.679042,69,0.408238
-87.588121,79,0.471787
-286.396373,57,0.503414
-291.374942,117,0.571362
-122.350871,68,0.621519
-465.730262,96,0.67163
-380.091982,86,0.708856
-222.474224,73,0.738083
-474.574575,93,0.822103
-98.215767,63,0.854862
-171.751066,85,0.888207
-241.925963,129,0.97474
-27.887752,84,1.018995
-277.711914,65,1.054759
-474.532964,96,1.104909
-260.394076,105,1.154742
-436.686971,87,1.188503
-486.479063,78,1.258519
-168.097021,92,1.338119
-212.593345,114,1.405322
-497.233242,92,1.475393
-269.88661,73,1.51577
-300.748643,84,1.575836
-217.593727,101,1.645016
-418.763399,72,1.694625
-218.718845,76,1.753689
-168.811143,115,1.821402
-198.487701,83,1.864747
-227.957627,71,1.907633
-386.535165,74,1.955109
-157.633779,70,2.007915
-161.024215,68,2.038403
-131.190678,146,2.139518
-208.974443,95,2.189617
-265.002107,83,2.254909
-100.558725,72,2.306172
-495.478271,77,2.338302
-355.254916,109,2.424646
-424.176004,101,2.492343
-136.236956,93,2.54053
-384.188896,92,2.623035
-393.279485,125,2.721607
-120.608517,87,2.777244
-168.690483,67,2.821427
-286.490372,78,2.888507
-164.618513,110,2.958399
-304.587149,130,3.032031
-260.997966,95,3.088081
-281.560394,113,3.178043
-191.642445,83,3.220277
-93.516336,116,3.287607
-502.153634,98,3.380625
-508.546495,101,3.43821
-427.122487,99,3.504826
-115.539993,57,3.555313
-321.249918,71,3.600606
-192.281435,75,3.638355
-366.573337,69,3.686673
-90.223589,89,3.754667
-264.155496,86,3.788202
-261.233205,63,3.854776
-63.213946,91,3.904617
-340.268621,99,3.988012
-341.748109,75,4.023072
-104.152829,69,4.090064
-103.452333,75,4.129533
-471.869651,93,4.204716
-482.661209,75,4.238446
-549.91342,99,4.304545
-577.624744,77,4.366933
-387.280234,106,4.438546
5.6869,141,4.521403
-138.239886,85,4.604942
-179.652973,59,4.638347
-437.355624,106,4.688259
-316.406055,104,4.783721
-183.885591,97,4.838718
43.398068,80,4.904243
-330.96856,62,4.937952
-348.548969,91,5.004916
-526.452903,85,5.071361
-112.265276,77,5.121129
-377.080237,70,5.153719
-321.40609,100,5.221663
-311.591153,76,5.271714
-343.414209,108,5.355049
-454.280057,95,5.41214
-227.602068,64,5.438368
-555.274834,84,5.52139
-434.421322,109,5.588141
-232.835998,84,5.653493
-306.677923,103,5.73812
-153.420008,112,5.825127
-124.411343,78,5.871607
-307.857504,82,5.938046
-218.30376,74,5.981575
-299.469832,93,6.054632
-74.704318,129,6.140659
-335.795255,70,6.188085
-156.273454,70,6.237984
-685.723541,93,6.288537
-484.20508,106,6.357613
-328.897303,94,6.438022
-298.622391,83,6.488484
-534.451507,149,7.221568
-180.510881,103,7.288434
-130.235068,77,7.355143
-584.987616,113,7.421702
-404.49043,80,7.471389
-386.883527,109,7.555024
-108.566157,131,7.638151
-394.889715,94,7.721918
-342.823704,104,7.788122
-127.953793,69,7.84409
-353.205151,110,7.904698
-397.568775,104,7.971786
-442.151665,102,8.040693
-222.940592,119,8.12177
22.808206,82,8.188349
-473.52641,111,8.255025
-352.458004,113,8.354836
-207.898803,80,8.388051
-115.481062,109,8.47772
-508.994326,111,8.538164
-175.454621,107,8.621315
-154.946935,63,8.673929
-132.136234,131,8.754738
-256.336524,106,8.821297
-191.8575,92,8.873909
-133.813135,64,8.921412
-85.516459,74,8.971602
-243.894295,79,9.004582
-363.637005,101,9.071336
-113.606428,73,9.138226
-184.595758,100,9.208165
-263.622976,85,9.271411
-523.535777,85,9.307967
-103.323285,74,9.354611
-278.86801,70,9.420978
-410.703376,119,9.488342
-269.517104,120,9.571249
-194.962361,82,9.621346
-153.853632,102,9.704581
-182.172279,77,9.741772
-516.226623,84,9.805008
-286.1444,108,9.904771
-416.057333,91,9.971421
-330.929077,87,10.021437
-296.260391,98,10.104761
-543.758875,90,10.158034
-168.447641,88,10.187936
-356.082772,77,10.238094
-242.931036,90,10.304802
-102.54255,62,10.337898
-265.788946,98,10.421373
-141.053781,110,10.474004
-88.135896,61,10.521607
-173.178085,92,10.571655
-643.664897,106,10.655115
-73.962172,76,10.704651
-163.266221,59,10.721237
-394.963394,96,10.788116
-375.081467,110,10.871559
-119.250105,94,10.94226
-464.228744,86,10.988422
-105.560935,60,11.038295
-291.478219,90,11.104662
-93.02991,112,11.171381
-190.213004,85,11.244769
-234.3476,100,11.304958
-197.383282,65,11.367413
-94.640485,64,11.388272
-164.723378,87,11.444888
-282.552519,80,11.488024
-454.039406,88,11.557721
-143.770814,124,11.625947
-279.510624,106,11.673886
-217.061341,93,11.721737
-307.639682,92,11.804647
-121.478078,80,11.838348
-485.422424,111,11.887822
-154.482967,67,11.953269
-188.082975,61,12.002221
-329.61449,69,12.038559
-265.345211,82,12.074328
-121.075718,68,12.139212
-147.777196,74,12.187485
-153.591569,67,12.222448
-151.379797,71,12.273886
-126.176957,70,12.304531
-124.266189,101,12.371549
-451.855977,76,12.437949
-110.342156,82,12.504477
-236.482222,82,12.555211
-160.939177,60,12.584918
10.671502,88,12.637676
-369.808209,71,12.655185
-177.375981,61,12.691302
-104.691892,88,12.770852
-276.984512,112,12.838661
-226.361777,83,12.908117
-238.824147,58,12.945957
-369.598536,79,12.987638
-360.331832,77,13.038547
-108.720402,102,13.088544
-620.454939,97,13.154591
-284.664936,105,13.207004
-99.262571,87,13.254723
-447.448495,104,13.307672
-92.470358,64,13.354666
-327.271563,86,13.424674
-324.279588,89,13.471208
-247.008495,103,13.555241
-231.950037,75,13.604589
-264.87071,110,13.691893
-473.530622,69,13.721393
-479.346629,87,14.438255
-77.423046,108,14.52165
-185.884973,72,14.567066
-196.575817,87,14.638029
-190.384197,83,14.680564
-586.758058,97,14.721624
-119.32068,58,14.738391
-95.649792,119,14.8169
-350.265549,119,14.889069
-246.351198,76,14.954665
-202.166087,65,15.005029
-153.308815,127,15.088995
-158.936309,66,15.137945
-93.426343,124,15.204808
-614.317273,99,15.288971
-354.274563,85,15.321396
-161.545038,85,15.38898
-164.09679,71,15.438324
-131.001737,70,15.488818
-94.598635,57,15.521367
-569.55957,97,15.598847
-377.318611,94,15.655163
-235.475062,84,15.737011
-65.412706,79,15.788008
-352.39717,109,15.837956
-155.38142,80,15.904914
-207.42372,86,15.954802
-196.094781,94,16.03797
-299.786849,76,16.071225
-423.864731,95,16.155051
-154.3649,62,16.206256
-144.186933,66,16.254622
-274.782068,109,16.321193
-124.877334,84,16.389456
-7.188261,85,16.454562
-79.885132,86,16.50473
-271.46436,72,16.554636
-232.222047,116,16.641211
-195.856573,77,16.704704
-136.419614,85,16.740575
-146.989526,71,16.789764
-104.769699,63,16.853541
-127.79623,72,16.890184
-220.111518,67,16.954134
-262.656212,96,17.004834
-81.733703,69,17.057236
-200.782428,144,17.146287
-267.349684,78,17.187975
-344.681341,72,17.237974
-193.966931,75,17.304165
-270.264944,109,17.388793
-123.907532,68,17.421431
-177.778283,93,17.491133
-531.798752,95,17.537909
-116.640028,85,17.608043
-496.236316,93,17.654908
-318.535175,75,17.706261
-315.978937,68,17.754762
-168.509875,121,17.838001
-235.34127,117,17.923826
-161.534263,73,17.971125
-376.635261,67,18.021469
-175.013476,98,18.071501
-406.618328,95,18.141199
-150.836523,111,18.220158
-352.032459,87,18.291608
-424.506458,100,18.341624
-418.207861,109,18.421328
-405.663804,97,18.504938
-295.542183,86,18.571586
-164.227485,102,18.635282
-179.601862,96,18.692008
-423.510344,92,18.754893
-255.953969,76,18.79821
-335.414627,72,18.821227
-212.408981,145,18.904639
-275.939662,60,18.954969
-232.968609,101,19.03799
-313.211694,101,19.110713
-458.198587,109,19.193048
-92.450089,127,19.271256
-130.716203,82,19.338289
-112.206954,147,19.421287
-138.559274,71,19.493555
-294.542493,59,19.521562
-327.365693,94,19.59393
-116.50148,82,19.655959
-349.848699,115,19.722354
-306.37873,92,19.772459
-190.451679,116,19.855128
-451.045616,115,19.922712
-130.460309,113,19.994335
-294.594676,78,20.03784
-388.284125,75,20.071292
-567.069414,89,20.157046
-134.883623,154,20.240601
-180.462503,103,20.316601
-122.573199,93,20.371216
-333.306596,95,20.437892
